User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,,,SGST,CGST,UGST,CESSGST,Total GST,,Discount,Payment mode,,Txnid,Channel,Counter,Cashier,Status,Parcel Charges,,Convenience Fee,Note To Kitchen,Upselling,Card Type,,Delivery,Lat,Lon,Address,Contact number
4ceca15082f21c22c129f4c32f165b59,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:00:00,Saturday,O1001439,'2210183356270',Egg-Cellent Bhurji (2 Egg butter Bhurji),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT212777Z221001030359053,app,-,-,done,0,,0,Scrambled eggs. Gordon Ramsay style.,No,,,,,,,
e2e3717589aca7fa0200eb035f1ab179,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:00:00,Saturday,P1003336,'2210185219325',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT303794Z221001032221496,app,-,-,done,0,,0,,No,,,,,,,
a9eda7540bef3cc343b671c01f5c6391,staff,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:00:00,Saturday,P1004289,'2210185852270',Ghar Ke Jaisa (2 Egg Masala Omelette),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,,app,-,-,done,0,,0,,No,,,,,,,
00eda5a0cee1249b97f57f64023e484d,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:30:00,Saturday,I2006761,'221019713804',"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",,V,Food,FALSE,2,,,0,0,0,0,0,,0,online,,PT475361Z221001033720459,app,-,-,done,0,,0,,No,,,,,,,
00eda5a0cee1249b97f57f64023e484d,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:30:00,Saturday,I2006761,'221019713804',Glass of Coke,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT475361Z221001033720459,app,-,-,done,0,,0,,No,,,,,,,
00eda5a0cee1249b97f57f64023e484d,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:30:00,Saturday,I2006761,'221019713804',Glass of Sprite,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT475361Z221001033720459,app,-,-,done,0,,0,,No,,,,,,,
0b58baf50a974c9d7fbe93bf00d43138,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:30:00,Saturday,M1007052,'2210192549724',Masala Chai,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT179625Z221001035517396,app,-,-,done,0,,0,,No,,,,,,,
c1832b0aa90404a3c014287136eec884,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,9:30:00,Saturday,P2005609,'221019232473',Masala Chai,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT389741Z221001033236580,app,-,-,done,0,,0,,No,,,,,,,
4ac719193613cc9f2d8d45b76e8cdb4d,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,10:00:00,Saturday,F1008972,'2210194713625',Egg-Cellent Bhurji (2 Egg butter Bhurji),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT3079Z221001041716835,app,-,-,done,0,,0,Scrambled eggs,No,,,,,,,
05d77555fdf94ef42fa7454de41cf39c,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,10:30:00,Saturday,R100A139,'22101102846523',Ghar Ke Jaisa (2 Egg Masala Omelette),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT298638Z221001045848728,app,-,-,done,0,,0,,No,,,,,,,
21cc16aa17bf28f1494becde2dedd5c4,employee,AHMEDABADCAFETERIA:cafedelice,01-10-2022,11:00:00,Saturday,C1013160,'22101104310842',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT238550Z221001051312367,app,-,-,done,0,,0,Add Nutella,No,,,,,,,
784ecf077d147d23a6b3cbfc893c38d8,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,11:00:00,Saturday,G100B083,'22101103043323',Egg-Cellent Bhurji (2 Egg butter Bhurji),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT155674Z221001050046125,app,-,-,done,0,,0,,No,,,,,,,
d74465452d24964bd834bdecaceee5a7,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,11:00:00,Saturday,I100E970,'22101103355726',A Clear Sunrise (2 Egg Sunny Side Up),,E,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT57785Z221001050357744,app,-,-,done,0,,0,please fry completely on both sides with oil,No,,,,,,,
dde5a8dd45d755edf8ce703fb99bcdf2,student,AHMEDABADCAFETERIA:cafedelice,01-10-2022,11:00:00,Saturday,J1015613,'2210110470534',Green Tea,,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT141962Z221001051700459,app,-,-,done,0,,0,,No,,,,,,,
a1e43129bea9b915c186c8c21d22cf6c,employee,AHMEDABADCAFETERIA:cafedelice,01-10-2022,11:00:00,Saturday,K100F640,'2210110377188',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,0,0,0,0,0,,0,online,,PT180267Z221001050709425,app,-,-,done,0,,0,,No,,,,,,,
