User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,,,,,,,,,,,,,,,,,,,,
62e3eae9dea4aa445559a1938f78b038,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:00:00,Thursday,Q101B740,'229195829211',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
62e3eae9dea4aa445559a1938f78b038,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:00:00,Thursday,Q101B740,'229195829211',Filter Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
62e3eae9dea4aa445559a1938f78b038,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:00:00,Thursday,Q101B740,'229195829211',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
854d561e8507c4247664ad4ae01b0706,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:00:00,Thursday,R2011455,'22919393150',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
5a931e17a45503299ffd65e31d4c1fb2,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,B202F584,'2291102125296',Flaky Paneer Tikka Puffs,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
0ce6c1030bdd070d162eec7fd4074987,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,C101E621,'22911012352',"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3241ba263a23e9a9f0bd5a91b7b72aa7,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,C1023876,'229110346454',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
95cef6fc6594fb2cd1a80ebae26b446e,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,D1029201,'229110912671',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
ee57e2f0f009d799c368a9c464419a8b,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,E1020789,'229110311403',Filter Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
d7b37719794fe8978c5c3610798978ec,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,E1024866,'229110549717',Flaky Paneer Tikka Puffs,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
ee57e2f0f009d799c368a9c464419a8b,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,F102C789,'2291101319714',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
6949ddcd62d64a4ed5cefa3a6726ad81,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,G102D034,'2291101358833',Thumbs Up  Can - 300 ml,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
1b47759f923e11ac88c8fae7ebb3a554,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,H101D605,'229195935487',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
