Item name
Black Assam Tea
Cafe Latte
Cafe Mocha
Cappuccino
Captain Cold Mocha
Caremelcino
Charged - Energy Drink (300 ml)
Coke Can (300 Ml)
Coke Zero Can
Cold Caramel Coffee
Cold Coffee
Diet Coke Can
Double Eye Opener
Fanta Can
Filter Coffee
Glass of Coke
Glass of Sprite
Green Tea
Iced Coffee(Black hot Coffee With Ice)
Lemon Iced Tea
Limca Can (300 ml)
Masala Chaas
Masala Chai
Monster Energy Drink
Monster Ultra Zero Sugar
Naughty Nutella Latte
Orange Juice
Peach Iced Tea
Predator - Energy Drink (300 ml)
Red Bull Green Dragon Fruit
Red Bull Regular
Red Bull Yellow Tropical Fruit
Shikanji
Single Eye Opener
Sprite Can (300 ml)
Sweet Lassi
Thumbs Up  Can - 300 ml
Water Bottle
